Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 2806872,HECATE v1.1 via VizieR,156.994681 22.185000,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,17.17600000 / 196.15 million ly,Sm / Magellanic spiral; de Vaucouleurs T=9.0,0.199 × 0.144 arcmin,"4,196.9 km/s",DERIVED 11.4 × 8.2 thousand ly,18.063 — catalog band requires verification,60.796 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 30134,HECATE v1.1 via VizieR,154.765776 43.509544,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,15.20900000 / 336.57 million ly,Scd–Sd spiral; de Vaucouleurs T=6.7,0.260 × 0.183 arcmin,"6,995.1 km/s",DERIVED 25.5 × 17.9 thousand ly,16.281 — catalog band requires verification,62.759 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2390691,HECATE v1.1 via VizieR,33.502249 51.232361,EST 9.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 484.16 million ly,Not available,0.330 × 0.144 arcmin,"10,523.0 km/s",DERIVED 46.5 × 20.3 thousand ly,16.140 — catalog band requires verification,59.180 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1835583,HECATE v1.1 via VizieR,167.079122 28.433314,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,15.76400000 / 448.89 million ly,Scd–Sd spiral; de Vaucouleurs T=5.6,0.249 × 0.125 arcmin,"9,686.6 km/s",DERIVED 32.5 × 16.3 thousand ly,17.415 — catalog band requires verification,61.581 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 197732,HECATE v1.1 via VizieR,42.967817 41.510521,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 207.30 million ly,Not available,0.310 × 0.112 arcmin,"4,444.0 km/s",DERIVED 18.7 × 6.8 thousand ly,Not available,55.240 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3995215,HECATE v1.1 via VizieR,121.239793 40.669692,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,17.61700000 / 364.88 million ly,Irregular; de Vaucouleurs T=10.0,0.207 × 0.100 arcmin,"7,904.9 km/s",DERIVED 22.0 × 10.6 thousand ly,18.326 — catalog band requires verification,60.828 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 197741,HECATE v1.1 via VizieR,43.179462 41.102324,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 279.35 million ly,Not available,0.138 × 0.120 arcmin,"5,960.5 km/s",DERIVED 11.2 × 9.8 thousand ly,17.450 — catalog band requires verification,57.102 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2089130,HECATE v1.1 via VizieR,34.993865 36.907835,EST 10.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 513.62 million ly,Not available,0.262 × 0.169 arcmin,"11,290.4 km/s",DERIVED 39.1 × 25.2 thousand ly,16.270 — catalog band requires verification,58.778 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 12336,HECATE v1.1 via VizieR,49.697447 41.428367,EST 10.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.04700000 / 281.71 million ly,Elliptical; de Vaucouleurs T=-5.0,0.294 × 0.169 arcmin,"6,003.9 km/s",DERIVED 24.1 × 13.8 thousand ly,16.045 — catalog band requires verification,63.131 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 74067,HECATE v1.1 via VizieR,30.454625 24.152806,EST 9.4 billion years — object-specific general galaxy stellar-population model; not a direct measurement,15.22500000 / 231.61 million ly,Not available,0.190 × 0.123 arcmin,"5,126.0 km/s",DERIVED 12.8 × 8.3 thousand ly,17.540 — catalog band requires verification,59.220 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4194825,HECATE v1.1 via VizieR,139.053494 17.623433,EST 11.3 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.36700000 / 423.26 million ly,Elliptical; de Vaucouleurs T=-5.0,0.151 × 0.112 arcmin,"9,263.6 km/s",DERIVED 18.6 × 13.8 thousand ly,18.101 — catalog band requires verification,60.604 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27211,HECATE v1.1 via VizieR,143.613858 24.225823,EST 10.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.13000000 / 597.83 million ly,Sa–Sb spiral; de Vaucouleurs T=1.3,0.367 × 0.195 arcmin,"13,251.9 km/s",DERIVED 63.8 × 33.9 thousand ly,15.865 — catalog band requires verification,63.603 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
