Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC 1512559,HyperLEDA PGC,58.692083 16.599167,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.420 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 2189537,HECATE v1.1,50.694630 41.941240,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02058958 / 292.46 million ly,GiC [SIMBAD classification],0.177 × 0.148 arcmin [catalog value; band/isophote may vary],"6,172.6 km/s",EST [15.1 × 12.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1490804,HECATE v1.1,28.099580 15.683776,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04291636 / 578.35 million ly,G [SIMBAD classification],0.260 × 0.230 arcmin [catalog value; band/isophote may vary],"12,866.0 km/s",EST [43.7 × 38.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9411,RC3,37.100000 28.133333,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.03851331 / 537.97 million ly,G [SIMBAD classification],1.040 arcmin [catalog value],"11,323.8 km/s",EST [162.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 17751,HECATE v1.1,86.407875 64.030167,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01427988 / 204.42 million ly,AG? [SIMBAD classification],0.567 × 0.521 arcmin [catalog value; band/isophote may vary],"4,281.0 km/s",EST [33.7 × 31.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9738,HECATE v1.1,38.351688 20.578741,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01445133 / 182.57 million ly,AG? [SIMBAD classification],0.692 × 0.223 arcmin [catalog value; band/isophote may vary],"4,332.4 km/s",EST [36.8 × 11.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC22802,RC3,121.839167 40.398333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02636000 / 368.21 million ly,G [SIMBAD classification],1.220 arcmin [catalog value],"7,798.4 km/s",EST [130.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+09.0080,HyperLEDA PGC,40.835833 9.340556,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.177 × 0.155 arcmin [catalog value; band/isophote may vary],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC21261,RC3,113.289167 19.199167,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02681855 / 374.61 million ly,GiG [SIMBAD classification],1.200 arcmin [catalog value],"7,932.2 km/s",EST [130.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12343,HECATE v1.1,49.722280 40.595822,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02064929 / 146.36 million ly,GiG [SIMBAD classification],0.797 × 0.239 arcmin [catalog value; band/isophote may vary],"6,190.5 km/s",EST [33.9 × 10.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
A   0730+73,RC3,114.235417 73.713333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",Not available / Not available,Scd–Sd spiral; de Vaucouleurs T=6.0 [catalog classification],1.420 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,RC3; values marked EST require verification,46% [completeness + multi-source agreement; not a scientific certainty score]
