9	opo0511a	NGC 1316	Fornax A	Galaxy Portrait	Hubble spies cosmic dust bunnies
10	opo0501a	NGC 1300	A poster-size of barred spiral galaxy NGC 1300	Prototypical Barred Spiral	A poster-size image of the beautiful barred spiral galaxy NGC 1300
15	heic0910s	NGC 6217	Barred spiral galaxy NGC 6217	Barred Spiral Galaxy	Barred spiral galaxy NGC 6217
17	heic0905a	NGC 7049	Dramatically backlit dust lanes in NGC 7049	Backlit Dust-Lane Galaxy	Dramatically backlit dust lanes in NGC 7049
19	heic0706a	NGC 1672	Stellar nursery in the arms of NGC 1672	Spiral-Arm Stellar Nursery	Stellar nursery in the arms of NGC 1672
41	heic1712a	NGC 1510 / NGC 1512	NGC 1512 and NGC 1510	Interacting Spiral and Dwarf	NGC 1512 and NGC 1510
55	potw1442a	NGC 4526	The whirling disc of NGC 4526	Whirling Lenticular Galaxy	The whirling disc of NGC 4526
58	heic2313a	UGC 8091	Dwarf irregular galaxy UGC 8091	Dwarf Irregular Galaxy	Dwarf irregular galaxy UGC 8091
85	heic1403a	M 83	of barred spiral galaxy Messier 83	Southern Pinwheel Galaxy	Hubble view of barred spiral galaxy Messier 83
88	heic0711a	NGC 4449	Stellar fireworks are ablaze in galaxy NGC 4449	Stellar Fireworks Galaxy	Stellar fireworks are ablaze in galaxy NGC 4449
97	potw1348a	NGC 660	A bizarre cosmic rarity NGC 660	Polar Ring Galaxy	A bizarre cosmic rarity: NGC 660
100	heic0804a	NGC 1132	The gargantuan galaxy NGC 1132	Fossil Group Giant	The gargantuan galaxy NGC 1132
141	heic2502a	NGC 346	Stellar sculptors in NGC 346	Stellar Sculptors	Stellar sculptors in NGC 346
144	potw2511a	SMC 13	SMC 13	Colourful Clouds	Colourful clouds of a nearby neighbour
148	opo2506	LEDA 1313424	Galaxy LEDA 1313424	Bullseye	Galaxy LEDA 1313424
163	heic2414a	NGC 2207 / IC 2163	Galaxies IC 2163 and NGC 2207	Interacting Spiral Pair	Galaxies IC 2163 and NGC 2207 (Webb and Hubble image)
169	heic2411a	REP: M 87	REP: M 87	Black Hole Jet and Nova	Black hole jet and accompanying erupting nova (artist's concept)
170	potw2439a	IC 1954	The new and improved IC 1954	Asymmetric Spiral Galaxy	The new and improved IC 1954
172	opo2422a	MCG -03-34-064	MCG -03-34-064	Dual Active Nuclei	Black hole pair embedded in middle of active galaxy MCG-03-34-064
193	heic2407a	UGC 12158	Asteroid photobombs snapshot of Galaxy UGC 12158	Asteroid-Photobombed Galaxy	Asteroid photobombs Hubble snapshot of Galaxy UGC 12158
194	potw2416a	NGC 3783	The eponymous NGC 3783	Active Spiral Galaxy	The eponymous NGC 3783
201	opo2404a	AM 1054-325	AM 1054-325	String-of-Pearls Galaxy	Hubble traces 'string-of-pearls' star clusters in galaxy collisions
205	potw2401a	J020941.1+001557	HerS J020941.1+001557	So Near, So Far	So near, or so far?
209	potw2348a	Abell 3192	Abell 3192	One Cluster or Two	One cluster or two?
212	heic2310a	MACS J0416.1-2403	MACS J0416.1-2403	Christmas Tree Galaxy Cluster	Galaxy cluster MACS0416 (Hubble and Webb composite image)
216	potw2342a	IC 5332	IC 5332	Weakly Barred Spiral	‘S’ is for ‘Spiral’, ‘AB’ is for … ‘Weakly Barred’
223	potw2333a	2MASX J05101744-4519179	2MASX J05101744-4519179	Clear-View Galaxy Cluster	A clear view of a galaxy cluster
226	potw2329a	Arp 263	Starstruck of Arp 263	Starstruck Irregular Galaxy	Starstruck image of Arp 263
227	potw2328a	eMACS J1353.7+4329	eMACS J1353.7+4329	Galactic Monster Mash	Galactic monster mash
231	potw2323a	J211347.41+022834.9	WINGS J211347.41+022834.9	Under the Sea	Under the Sea
232	potw2322a	NGC 298	explores explosive aftermath in NGC 298	Galaxy Portrait	Hubble explores explosive aftermath in NGC 298
235	potw2317a	ACO S520	ACO S520	Galaxy Cluster	The cluster that almost got away
237	opo23011a	M 87	M 87	Virgo A	The Hubble and Keck Telescopes assemble a 3D view of a giant galaxy
238	potw2315a	ZwCl 1012-0047	ZwCl 1012-0047	Jellyfish Galaxy	A jellyfish and the ram
240	potw2313a	Z 229-15	Z 229-15	Galaxy Portrait	Everything, in one place, all at once
242	potw2311a	UGCA 307	UGCA 307	Galaxy Portrait	Hubble’s neighbourhood watch
244	potw2309a	Ka 364	Ka 364	Galactic Seascape	Galactic Seascape
245	potw2308a	2MASX J00190792-2026281 / CL J0019-2026	2MASX J00190792-2026281	Cosmic Contortions	Cosmic Contortions
248	potw2247a	AM 0417-391	AM 0417-391	Galaxy Portrait	Hubble Hunts an Unusual Galaxy
253	potw2217a	GAMA 526784	GAMA 526784	Galaxy Portrait	Hubble Spies a Tenuous Diffuse Galaxy
254	heic2201a	NGC 2444 / Arp 143	’s of Arp 143	Galaxy Portrait	Hubble’s Observation of Arp 143
262	potw2118a	Abell 3827	Abell 3827	Our Giant Universe	Our Giant Universe
266	potw2033a	NGC 2442	SN2015F	Meathook Galaxy	Cosmic Fireworks
273	potw1902a	Messier 89	Messier Monday	Galaxy Portrait	Messier Monday
274	potw1851a	REP: Hubble Space Telescope	Space Telescope	Galaxy Portrait	Hubble opens its eye again
