#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-21T02:42:53 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-21T02:42:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	A	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	PA	(F6.1)	[-160/90]? Position angle of major axis	[ucd=pos.posAng]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	? Mean error on [3.6]	[ucd=stat.error]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	? Growth-curve fitting error in [4.5]	[ucd=stat.error]
#Column	c31	(F6.3)	[1/]? r(75%)/r(25%) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	c42	(F6.3)	? 5*log10(r(80%)/r(20%)) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	M4.5	(F7.3)	? Absolute magnitude at 4.5um	[ucd=phys.magAbs;em.IR.4-8um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dmean	(F6.3)	? Standard deviation of Dmean	[ucd=stat.error]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	e_TT	(F4.1)	? Error on TT	[ucd=stat.error]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Mean error on Vr	[ucd=stat.error]
#Column	S4G	(A3)	See the NASA/IPAC details for this galaxy	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	A	Name	RAJ2000	DEJ2000	amaj	PA	ell	[3.6]	e_[3.6]	[4.5]	e_[4.5]	c31	c42	M3.6	M4.5	logM*	Dmean	e_Dmean	TT	e_TT	Vr	e_Vr	S4G	Simbad	NED	LEDA
 	 	 	deg	deg	arcsec	deg	 	mag	mag	mag	mag	 	 	mag	mag	[Msun]	Mpc	Mpc	 	 	km/s	km/s	 	 	 	
--------	-	----------	---------	---------	-----	------	------	------	------	------	------	------	------	-------	-------	------	-------	------	----	----	-------	----	---	------	---	----
       1	 	IC5269    	344.43187	-36.02620	 67.6	  50.6	 0.475	12.214	 0.001	12.702	 0.001	 4.739	 4.077	-19.874	-19.385	10.121	 26.150	 1.061	-1.9	 0.7	 1967.0	11.5	S4G	Simbad	NED	LEDA
       2	 	IC5269A   	343.98060	-36.34807	 48.1	  52.3	 0.263	14.614	 0.002	14.991	 0.007	 2.902	 2.866	-18.275	-17.898	 9.399	 37.833	 1.247	 8.9	 0.8	 2872.3	 4.0	S4G	Simbad	NED	LEDA
       3	 	IC5269B   	344.15293	-36.24990	138.7	 -83.2	 0.775	12.921	 0.001	13.322	 0.001	 3.091	 3.036	-19.078	-18.677	 9.738	 25.106	 5.207	 5.5	 0.6	 1664.3	 4.3	S4G	Simbad	NED	LEDA
       4	 	IC5269C   	345.20066	-35.37049	 73.3	  44.9	 0.568	13.976	 0.002	14.458	 0.003	 3.587	 3.389	-17.821	-17.339	 9.296	       	      	 7.0	 0.5	 1788.3	 7.4	S4G	Simbad	NED	LEDA
       5	 	IC5270    	344.47868	-35.85802	 94.1	 -76.1	 0.551	11.875	 0.001	12.260	 0.001	 3.056	 3.107	-19.900	-19.515	10.055	 22.647	 3.281	 5.7	 0.9	 1983.3	 7.7	S4G	Simbad	NED	LEDA
       6	 	IC5271    	344.50766	-33.74218	 94.0	 -40.0	 0.533	10.967	 0.001	11.418	 0.001	 2.693	 2.758	-20.806	-20.355	10.467	 22.630	 1.929	 3.0	 0.6	 1706.3	 6.6	S4G	Simbad	NED	LEDA
       7	 	IC5273    	344.86115	-37.70289	103.3	  48.1	 0.290	11.326	 0.001	11.747	 0.001	 2.662	 2.768	-19.769	-19.348	10.029	 16.557	 1.448	 5.7	 0.9	 1294.5	 4.8	S4G	Simbad	NED	LEDA
       8	 	IC5321    	351.58328	-17.95604	 58.9	   9.5	 0.186	13.695	 0.013	14.306	 0.002	 3.891	 3.599	-19.415	-18.803	10.029	 41.867	 3.843	 1.8	 2.2	 2873.0	 5.7	S4G	Simbad	NED	LEDA
       9	 	IC5325    	352.18093	-41.33327	102.8	  17.8	 0.119	10.975	 0.001	11.399	 0.001	 2.718	 2.735	-20.314	-19.889	10.250	 18.100	      	 4.2	 0.5	 1510.2	 6.6	S4G	Simbad	NED	LEDA
      10	 	IC5332    	353.61437	-36.10101	231.0	   0.7	 0.035	10.689	 0.001	11.120	 0.001	 3.087	 3.021	-18.932	-18.501	 9.702	  8.400	      	 6.8	 0.4	  704.0	 4.1	S4G	Simbad	NED	LEDA
      11	 	IC5333    	353.71979	-65.39610	 52.7	  84.9	 0.655	13.332	 0.002	13.700	 0.003	 3.101	 2.992	-19.216	-18.849	 9.769	 32.333	 4.014	 3.3	 0.9	 2010.3	 4.6	S4G	Simbad	NED	LEDA
      12	 	IC5334    	353.65174	-04.53426	 66.8	 -53.0	 0.562	12.696	 0.002	13.155	 0.001	 5.418	 4.381	-20.293	-19.834	10.267	 39.600	 5.000	 3.7	 1.3	 2214.4	 5.8	S4G	Simbad	NED	LEDA
      13	 	NGC0007   	002.08741	-29.91481	 74.7	  28.0	 0.710	14.021	 0.002	14.368	 0.003	 2.527	 2.507	-17.684	-17.337	 9.141	 21.929	 1.602	 4.8	 0.7	 1498.1	 4.5	S4G	Simbad	NED	LEDA
      14	 	NGC0014   	002.19285	+15.81629	 92.2	  18.6	 0.182	12.654	 0.001	13.109	 0.003	 3.556	 3.386	-17.882	-17.427	 9.299	 12.800	      	 9.9	 0.3	  863.2	 3.9	S4G	Simbad	NED	LEDA
      15	 	NGC0024   	002.48444	-24.96402	181.0	  44.8	 0.715	11.492	 0.001	12.072	 0.001	 2.800	 2.789	-17.698	-17.119	 9.318	  6.889	 2.849	 5.1	 0.4	  553.2	 3.1	S4G	Simbad	NED	LEDA
      16	 	NGC0045   	003.51699	-23.18187	255.3	 -41.1	 0.199	10.949	 0.001	11.558	 0.001	 2.895	 2.866	-18.896	-18.288	 9.819	  9.313	 2.910	 7.7	 0.7	  468.9	 2.5	S4G	Simbad	NED	LEDA
      17	 	NGC0055   	003.72841	-39.19950	     	      	      	      	      	      	      	      	      	       	       	      	  1.942	 0.305	 8.8	 0.8	  128.9	 4.0	S4G	Simbad	NED	LEDA
